timepoint,sub-0006,sub-0189,sub-0924
0,135740.73,326.2093,258.11957
1,135811.72,326.44186,258.39673
2,135656.47,325.1744,257.0815
3,135034.92,324.66278,256.23914
4,135698.12,324.53488,258.6413
5,135304.36,325.30234,258.55435
6,135275.77,326.73254,257.28806
7,135092.83,327.1686,257.9565
8,135047.05,326.88953,257.97284
9,135055.14,327.05814,256.5815
10,135432.1,326.0465,256.6685
11,135079.6,326.75,256.13043
12,135158.11,326.3779,255.91304
13,135361.58,325.4535,255.71196
14,135004.94,325.85464,256.19565
15,135247.98,328.0756,256.38043
16,135145.61,326.43024,256.59784
17,135153.16,326.9535,256.76086
18,135286.27,327.23254,256.91306
19,135145.23,326.34302,256.6087
20,135010.12,326.33722,255.77718
21,134946.69,324.5465,255.27718
22,135082.77,325.8721,256.1087
23,135246.69,326.2093,257.4837
24,134441.69,326.51746,257.31522
25,134999.83,324.75583,255.66304
26,135256.8,325.30814,255.875
27,135374.16,326.77325,257.15762
28,135099.9,327.63373,256.75
29,135182.88,326.88373,257.51086
30,135308.44,326.27908,258.03262
31,135049.47,326.4186,257.08694
32,135027.7,325.34885,257.11414
33,134929.0,324.81976,257.48914
34,135045.66,326.33722,257.31522
35,134923.62,326.80234,257.81522
36,135447.5,325.84302,257.01086
37,135538.11,326.24417,256.89673
38,135584.39,327.39536,256.9565
39,134761.27,327.81396,256.33694
40,133940.52,327.11047,256.83694
41,134406.77,326.22675,256.5163
42,134738.4,326.15115,255.67392
43,134921.62,326.8779,255.90761
44,134630.1,325.9593,255.46739
45,135456.98,327.2965,255.93478
46,135578.1,328.13373,256.94565
47,135741.17,326.80234,256.18478
48,136073.48,326.51746,255.94565
49,135892.72,327.59885,255.84782
50,135600.5,327.9593,257.94022
51,135687.77,327.2907,258.53262
52,135660.67,325.50583,255.95108
53,135454.75,327.99417,254.78261
54,135540.67,326.76746,255.64131
55,135397.66,326.6744,256.80435
56,135535.53,327.55814,257.63586
57,135555.23,327.80234,257.46738
58,135449.62,328.35464,256.9837
59,135577.72,327.4535,256.65216
60,135359.67,328.19186,256.29892
61,135328.39,327.23254,256.92392
62,135074.52,327.28488,256.91306
63,135439.83,326.99417,258.22827
64,135688.31,327.23837,257.76086
65,135847.08,327.85464,255.73369
66,135844.3,328.19766,255.15761
67,135510.61,328.23254,257.24457
68,135384.48,327.38373,259.0815
69,135205.92,327.19186,257.26086
70,135253.94,327.46512,257.1413
71,135374.05,328.21512,257.22284
